bpp,codec,psnr,setting,ssim
0.3355712890625,jpeg,37.41706085205078,10,0.8983350396156311
0.335693359375,jpeg,39.421783447265625,25,0.9097416400909424
0.337646484375,jpeg,50.30946350097656,50,0.9914449453353882
0.35888671875,jpeg,50.08802032470703,75,0.9905176162719727
0.7215576171875,jpeg,50.79655075073242,90,0.9914833307266235
0.39013671875,jpeg2000,48.705711364746094,80,0.9873527884483337
0.7882080078125,jpeg2000,49.336181640625,40,0.9884623289108276
1.5638427734375,jpeg2000,50.887046813964844,20,0.9915952682495117
3.157958984375,jpeg2000,51.20027160644531,10,0.9920551776885986
6.3712158203125,jpeg2000,55.49231719970703,5,0.9969810843467712
